"Reference","Value","Datasheet","Footprint","Qty","DNP","Стоимость"
"F1","Fuse","https://www.chipdip.by/product/fh-102","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","1","","1.35"
"J1,J9","Terminal_01x08_Socket","https://www.chipdip.by/product0/8000151691","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal","2","","2.05"
"J2,J3","PinHeader_01x04_angle","https://www.belchip.by/product/?selected_product=54121","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","2","","0.17"
"J4,J8","Conn_01x08_Pin","https://www.chipdip.by/product/2edgk-5.08-08p","","2","","5.1"
"J5,J6","Conn_01x10","~","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","2","",""
"J7","Conn_01x03_Pin","https://www.chipdip.by/product/2edgk-5.08-03p-14-00ah","","1","","1.95"
"J10","Conn_01x03_Socket","https://www.chipdip.by/product/2edgr-5.08-03p","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","1","","0.78"
"R1,R2,R3,R4,R5,R6,R7,R8,R17,R18,R19,R20,R21,R22,R23,R24","1.1к","https://www.chipdip.by/product0/63157","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical","16","","0.11"
"R9,R10,R11,R12,R13,R14,R15,R16,R25,R26,R27,R28,R29,R30,R31,R32","10к","https://www.chipdip.by/product0/48560","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","16","","0.07"
"U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16","PC817","https://www.chipdip.by/product/fod817b","Package_DIP:DIP-4_W7.62mm","16","","2.25"
"U17","PCF8575TS","https://www.chipdip.by/product0/8153866596","Package_SO:SSOP-24_5.3x8.2mm_P0.65mm","1","","14.5"
