"reference","quantity","part_ipn","note"
"C1,C2,C3,C4,C5,C6,C7,C8,C19,C20,C23,C24,C27,C28,C31,C32","16","C_330nF_50V_1206","Unpolarized capacitor"
"C9,C10,C11,C12,C18,C22,C26,C30","8","C_100nF_50V_1206","Unpolarized capacitor"
"C13,C14,C15,C16,C17,C21,C25,C29","8","C_1uF_50V_1206","Unpolarized capacitor"
"C33","1","C_4.7nF_2kV_1812","Unpolarized capacitor"
"D1","1","B5819W","Schottky diode"
"J2","1","2EDGR-5.08-18P","01x18"
"J3","1","PinHeader_01x05_P2.54_THT_angle","Generic connector, single row, 01x05, script generated"
"J4,J5","2","PinHeader_01x12_P2.54_THT_straight","Generic connector, single row, 01x12, script generated"
"R1,R2,R3,R4,R5,R6,R7,R8,R19,R20,R23,R24,R27,R28,R31,R32","16","R_1k_1206_1%","Resistor"
"R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R21,R22,R25,R26,R29,R30","16","R_562R_1206_1%","Resistor"
"R36,R37,R38","3","R_10k_1206_1%","Resistor"
"SW1","1","DIP_SW-3P-P2.54-THT-Top","3x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol"
"U2,U3,U4,U5,U6,U7,U8,U9","8","ISO1212",""
"U10","1","Weact ESP32-C3FH4","Микроконтроллер Weact ESP32-C3"
"U11","1","MCP23S17-E/ML","16-bit I/O expander, SPI, interrupts, w pull-ups, QFN-28"
