"reference","quantity","part_ipn","note"
"C1,C3","2","C_1uF_16V_1206","Unpolarized capacitor"
"C2","1","C_10uF_16V_1206","Unpolarized capacitor"
"J1","1","U254-051T-4BH83-S1S ",""
"J2","1","PinHeader_01x13_P2.54_THT_straight ","Generic connector, single row, 01x13, script generated"
"J3","1","PinHeader_01x01_P2.54_THT_straight","Generic connector, single row, 01x01, script generated"
"R1,R2,R3,R5,R6,R7,R8","7","R_10k_1206_1%","Resistor"
"R4","1","R_330R_1206_1% ","Resistor"
"SW1,SW2","2","TS-1088-AR02016 ",""
"SW3","1","DIP_SW-3P-P2.54-THT-Top","3x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol"
"U1","1","ESP32-C3-WROOM-02U-N4",""
