"reference","quantity","part_ipn","note","optional"
"C1,C3","2","C_1uF_16V_1206","Unpolarized capacitor",""
"C2,C4,C7,C9,C10,C11","6","C_10uF_16V_1206","Unpolarized capacitor","-- смешанные значения --"
"C5","1","C_22uF_16V_1206","Unpolarized capacitor",""
"C6,C8","2","C_100nF_50V_1206","Unpolarized capacitor","1"
"D1,D2","2","B5819W","Schottky diode",""
"D3","1","LESD3Z5.0T1G","5A 9.8V 6V Unidirectional 5V SOD-323 ESD and Surge Protection (TVS/ESD) ROHS",""
"J1","1","U254-051T-4BH83-S1S ","",""
"J2,J5,J8","3","AFA07-S10FCC-00","Generic connector, single row, 01x10, script generated",""
"PS1","1","B0505S-1WR3","SIP Converter","1"
"R1,R2,R3,R5,R6,R8,R9","7","R_10k_1206_1%","Resistor",""
"R4,R7","2","R_330R_1206_1% ","Resistor",""
"R10,R11","2","R_3k3_1206_1%","Resistor",""
"SW1,SW2","2","TS-1088-AR02016 ","",""
"SW4","1","DA-03BLP","3 positions SPST 24V Blue 25mA 3000 Times Flat Toggle, Raised Style Plugin DIP Switches",""
"U1","1","ESP32-C3-WROOM-02U-N4","",""
"U2","1","CJA1117B-3.3","",""
"U3","1","","True RS-485/RS-422, 10Mbps, Slew-Rate Limited, with low-power shutdown, with receiver/driver enable, 32 receiver drive capacitity, DIP-8 and SOIC-8",""
"U4","1","CA-IS3641HW","","1"
"XG1","1","DG141R-2.54-10P","Generic connector, single row, 01x10, script generated",""
