"reference","quantity","part_ipn","note","optional"
"C1,C5","2"," C_1uF_16V_0603_MLCC-X7R ","Unpolarized capacitor",""
"C2,C6,C10,C12","4","C_10uF_16V_0603_MLCC-X5R","Unpolarized capacitor",""
"C4","1","C_22uF_16V_0603_MLCC-X5R","Unpolarized capacitor",""
"C7","1","C_1uF_50V_0603_MLCC-X7R","Unpolarized capacitor",""
"C8,C9","2","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor",""
"J1","1","U254-051T-4BH83-S1S ","",""
"J2,J5,J8","3","AFA07-S10FCC-00","Generic connector, single row, 01x10, script generated",""
"J3","1","PinHeader_01x03_P2.54_THT_straight","Generic connector, single row, 01x05, script generated",""
"J4","1","Shunt 2.54 Open Top","",""
"J6","1","15EDGRHC-THR-3.5-10P","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"PS1","1","B2405LS-1WR3","",""
"R1,R3","2","R_3k3_0603_1%","Resistor",""
"R2,R5","2","R_330R_0603_1%","Resistor",""
"RN1,RN2","2","R_10k_0603x4_1%","4 resistor network, parallel topology, split",""
"SW1,SW2","2","TS-1088-AR02016 ","",""
"SW4","1","DA-03BLP","3 positions SPST 24V Blue 25mA 3000 Times Flat Toggle, Raised Style Plugin DIP Switches",""
"U1","1","ESP32-C3-WROOM-02U-N4","",""
"U2","1","CJA1117B-3.3","",""
"U5","1","SN74LVC2G14DBVR","",""
"U6","1","CA-IS3098W","",""
