"reference","quantity","part_ipn","note","optional"
"C1,C5","2"," C_1uF_16V_0603_MLCC-X7R ","Unpolarized capacitor",""
"C2,C3,C6,C10","4","C_10uF_16V_0805_MLCC-X5R","Unpolarized capacitor",""
"C4","1","C_22uF_16V_0805_MLCC-X5R","Unpolarized capacitor",""
"C7","1","C_1uF_50V_0603_MLCC-X7R","Unpolarized capacitor",""
"C8,C9","2","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor",""
"D1,D3,D5","3","XL-1606SYGC","Green",""
"D2,D4","2","XL-1606UBC","Blue",""
"D6","1","XL-1606SURC","Red",""
"J1","1","U254-051T-4BH83-S1S ","",""
"J2,J3,J4","3","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated",""
"J5","1","15EDGKNH-3.5-10P","Generic connector, single row, 01x05, script generated",""
"J6","1","15EDGRHC-THR-3.5-10P","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J7","1","PinHeader_01x03_P2.00_THT_straight","",""
"PS1","1","B2405LS-1WR3","",""
"R1,R3","2","R_3k3_0603_1%","Resistor",""
"R2","1","R_1k_0603_1%","Resistor",""
"R4,R8,R9","3","R_680R_0603_1%","Resistor",""
"R5,R6,R7","3","R_330R_0603_1%","Resistor",""
"RN1,RN2","2","R_10k_0603x4_1%","4 resistor network, parallel topology, split",""
"SP1","1","PM_LED-10-v0.0.1","",""
"SW1,SW2","2","TS-1088-AR02016 ","",""
"SW4","1","DA-03BLP","3 positions SPST 24V Blue 25mA 3000 Times Flat Toggle, Raised Style Plugin DIP Switches",""
"U1","1","ESP32-C3-WROOM-02U-N4","",""
"U2","1","CJA1117B-3.3","",""
"U3,U4","2","Keystone_5117","KEYSTONE - 5117 - TEST POINT, PCB, BLUE, THROUGH HOLE",""
"U5","1","SN74LVC2G14DBVR","",""
"U6","1","CA-IS3098W","",""
