"reference","quantity","part_ipn","note","optional"
"C1","1"," C_4.7uF_16V_0805_MLCC-X7R","Unpolarized capacitor",""
"C2","1","C_10uF_16V_0805_MLCC-X7R","Unpolarized capacitor",""
"C3,C5,C7,C9,C11,C12","6","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor",""
"C4,C6,C13,C14,C15,C16","6"," C_1uF_16V_0603_MLCC-X7R ","Unpolarized capacitor",""
"C8,C10","2","TAJA106M016RNJ","10uF 16V 3Ω@100kHz ±20% CASE-A-3216-18(mm) Tantalum Capacitors",""
"C17,C19,C20,C22,C23,C25,C26,C28","8","C_1nF_50V_0603_MLCC-X7R","Unpolarized capacitor",""
"C18,C21,C24,C27","4","C_22nF_25V_0603_MLCC-X7R","Unpolarized capacitor",""
"D1,D2,D3,D4,D5","5","SMAJ33CA","7.5A 400W 53.3V 40.6V 33V SMA(DO-214AC) ESD and Surge Protection (TVS/ESD)",""
"J1","1","15EDGRC-3.5-10P","Generic connector, single row, 01x09, script generated",""
"J2,J5","2","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated",""
"L1","1","FB_300mΩ_1kΩ@100MHz_1206","Ferrite bead",""
"PS1","1","B0505LS-1W","",""
"R1,R2","2","R_10k_0603_1%","Resistor",""
"R3","1","R_1R5_0603_1%","Resistor",""
"R4,R6,R9,R10,R11,R14,R15,R18,R19","9","R_300R_0603_1%","Resistor",""
"R5,R7,R8,R12,R13,R16,R17,R20,R21","9","R_1k69_0603_1%","Resistor",""
"SP1","1","PM_LED-10-v0.0.1","",""
"U2","1","AD7193BRUZ","",""
"U3,U6,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18","13","","2.5V 0.1% 10mA Low Noise Precision Voltage Reference, MSOP-8,4.096V 0.1% 10mA Low Noise Precision Voltage Reference, MSOP-8,Precision Micropower, Low Noise CMOS, Rail-to-Rail Input/Output Operational Amplifier, TSOT-23-5",""
"U4,U5","2","Keystone_5117","KEYSTONE - 5117 - TEST POINT, PCB, BLUE, THROUGH HOLE",""
"U7","1","CA-IS3761HW","",""
