"reference","quantity","part_ipn","note","Datasheet","optional"
"C1","1"," C_4.7uF_16V_0805_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/300",""
"C2","1","C_10uF_16V_0805_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/271/",""
"C3,C4,C5,C6,C7,C8","6","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/221",""
"J1,J2,J3,J4","4","15EDGRC-3.5-03P","Generic connector, single row, 01x09, script generated","http://inventree.network/part/247/",""
"JM1,JM2","2","AFA07-S20FCC-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","",""
"PS1","1","B0505LS-1W","","http://inventree.network/web/part/301/details",""
"R1","1","R_220R_0603_1%","Resistor","http://inventree.network/web/part/351/details",""
"R2,R5,R6,R7","4","R_0R01_2512_1%_50ppm","Resistor","http://inventree.network/web/part/355/details",""
"R3,R4","2","R_330R_0603_1%","Resistor","http://inventree.network/part/235/",""
"SP1","1","PM_LED-10-v0.0.1","","",""
"U2,U5,U6,U7","4","","High-Side or Low-Side Measurement, Bi-Directional Current and Power Monitor (0-36V) with I2C Compatible Interface, VSSOP-10","http://www.ti.com/lit/ds/symlink/ina226.pdf",""
"U3,U4","2","Keystone_5117","KEYSTONE - 5117 - TEST POINT, PCB, BLUE, THROUGH HOLE","http://inventree.network/part/282/",""
"U11","1","CA-IS3021G","","http://inventree.network/web/part/315/details",""
