"reference","quantity","part_ipn","note","optional"
"C1","1","C_4.7nF_2kV_1812","Unpolarized capacitor",""
"C2","1","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor",""
"D1,D2,D3,D4,D5,D6,D7,D8","8","XL-1606SYGC","Green",""
"D9,D10","2","XL-1606UBC","Blue",""
"J1,J9","2","15EDGK-3.5-10P","Generic connector, single row, 01x10, script generated",""
"J3","1","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated",""
"J5","1","FFC_12P_P1.0_100mm_straight","FFC 12pin 100mm",""
"J7,J8","2","15EDGRC-3.5-10P","Generic connector, single row, 01x09, script generated",""
"JM1,JM2","2","AFA07-S20FCC-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS",""
"K1,K2,K3,K4,K5,K6,K7,K8","8","G5NB-1A-E-DC5","",""
"R1,R2,R34,R35,R36,R37,R38,R39,R40,R41","10","R_680R_0603_1%","Resistor",""
"U1","1","MCP23S17-E/SO","16-bit I/O expander, SPI, interrupts, w pull-ups, SOIC-28",""
"U2","1","TBD62783AFG","",""
"U3","1","PM_LED-10-v0.0.1","",""
"U5","1","SN74LVC2G14DBVR","",""
"U6","1","MCP23017-E/SO","16-bit I/O expander, SPI, interrupts, w pull-ups, SOIC-28",""
