"reference","quantity","part_ipn","note","Datasheet","optional"
"C1","1","C_4.7nF_2kV_1812","Unpolarized capacitor","http://inventree.network/part/112/",""
"C2","1","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/221",""
"C7","1","C_1uF_50V_0603_MLCC-X7R","Unpolarized capacitor","",""
"C10","1","C_10uF_16V_0805_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/271/",""
"D1,D2,D3,D4,D5,D6,D7,D8","8","XL-1606SYGC","Green","http://inventree.network/part/278/",""
"D9,D10","2","XL-1606UBC","Blue","http://inventree.network/part/277/",""
"J1,J7","2","15EDGK-3.5-08P","Generic connector, single row, 01x10, script generated","",""
"J2,J4","2","15EDGRC-3.5-08P","Generic connector, single row, 01x09, script generated","",""
"J3","1","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated","",""
"J5","1","FFC_12P_P1.0_100mm_straight","FFC 12pin 100mm","http://inventree.network/part/291/",""
"J6","1","15EDGRC-3.5-03P","Generic connector, single row, 01x09, script generated","http://inventree.network/part/247/",""
"J10","1","15EDGK-3.5-05P","Generic connector, single row, 01x10, script generated","http://inventree.network/part/250/",""
"JM1,JM2","2","AFA07-S20FCC-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","",""
"K1,K2,K3,K4,K5,K6,K7,K8","8","G5NB-1A-E-DC5","","http://inventree.network/part/14/",""
"PS1","1","B2405S-2WR3","","",""
"R1,R2,R34,R35,R36,R37,R38,R39,R40,R41","10","R_680R_0603_1%","Resistor","http://inventree.network/part/281/",""
"U2","1","TBD62783AFG","","http://inventree.network/part/260/",""
"U3","1","PMLED-10-v0.0.2","","",""
"U6","1","MCP23017-E/SO","16-bit I/O expander, SPI, interrupts, w pull-ups, SOIC-28","",""
