"reference","quantity","part_ipn","note","optional"
"C1","1","C_4.7nF_2kV_1812_MLCC-X7R","Unpolarized capacitor",""
"C2,C3,C5,C6","4","C_22uF_50V_2220_MLCC-X7R","Unpolarized capacitor",""
"C4,C10,C12,C13,C17,C19","6","C_10uF_16V_0805_MLCC-X7R","Unpolarized capacitor",""
"C7,C9,C11,C14,C16,C18","6","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor",""
"C8,C15","2","C_1uF_50V_0603_MLCC-X7R","Unpolarized capacitor",""
"D2,D3,D4,D6,D7","5","XL-1606SYGC","Green",""
"D5","1","XL-1606SURC","Red",""
"D8,D9","2","XL-1606UBC","Blue",""
"J1","1","BS-12-A1AJ002-F","",""
"J2,J7,J8,J9,J12","5","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated",""
"J3","1","15EDGRHC-THR-3.5-10P","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4","1","K7805-2000R3","K7805-2000R3",""
"J5","1","K7803-2000R3","K7803-2000R3",""
"J6","1","FFC_12P_P1.0_100mm_straight","FFC 12pin 100mm",""
"J10","1","15EDGKNH-3.5-10P","Generic connector, single row, 01x05, script generated",""
"J11","1","PinHeader_01x03_P2.00_THT_straight","",""
"J13","1","15EDGRC-3.5-07P","Generic connector, single row, 01x09, script generated",""
"J14","1","15EDGRC-3.5-05P","Generic connector, single row, 01x09, script generated",""
"R1","1","R_1k_0603_1%","Resistor",""
"R2","1","R_4k7_0603_1%","Resistor",""
"R3,R4,R5,R6,R7,R8","6","R_680R_0603_1%","Resistor",""
"SP1","1","PM_LED-10-v0.0.1","",""
"U1","1","64900001039","5x20mm Fuseholder 6.3A 250V Littelfuse 6.3A PCB Mount Fuse Holder for 5 x 20mm Cartridge Fuse, 250 V",""
"U2","1","Keystone_5117","KEYSTONE - 5117 - TEST POINT, PCB, BLUE, THROUGH HOLE",""
"U3","1","","",""
"U4,U8","2","CA-IS3098W","",""
"U5","1","CA-IS3062VW","",""
"U6","1","DS3231SN","Extremely Accurate I2C-Integrated RTC/TCXO/Crystal SOIC-16",""
"U7","1","SN74LVC2G14DBVR","",""
