"reference","quantity","part_ipn","note","optional"
"C1","1","C_4.7nF_2kV_1812_MLCC-X7R","Unpolarized capacitor",""
"C2,C7,C10,C14,C16,C18","6","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor",""
"C3,C8,C9,C15","4","C_1uF_50V_0603_MLCC-X7R","Unpolarized capacitor",""
"C4,C5,C6,C13,C17,C19","6","C_10uF_16V_0805_MLCC-X7R","Unpolarized capacitor",""
"CR1","1","STWD100NYWY3F","",""
"D1","1","B5819W","Schottky diode",""
"D2,D3,D4,D6,D7","5","XL-1606SYGC","Green",""
"D5","1","XL-1606SURC","Red",""
"D8,D9","2","XL-1606UBC","Blue",""
"J1","1","BS-12-A1AJ002-F","",""
"J2,J14","2","15EDGRC-3.5-05P","Generic connector, single row, 01x09, script generated",""
"J3","1","15EDGRHC-THR-3.5-10P","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J6","1","FFC_12P_P1.0_100mm_straight","FFC 12pin 100mm",""
"J7","1","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated",""
"J10","1","15EDGKNH-3.5-10P","Generic connector, single row, 01x05, script generated",""
"J13","1","15EDGRC-3.5-07P","Generic connector, single row, 01x09, script generated",""
"JM1,JM2","2","AFA07-S20FCC-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS",""
"R1","1","R_1k_0603_1%","Resistor",""
"R2","1","R_4k7_0603_1%","Resistor",""
"R3,R4,R5,R6,R7,R8","6","R_680R_0603_1%","Resistor",""
"R9,R10","2","R_3k3_0603_1%","Resistor",""
"R11","1","R_10k_0603_1%","Resistor",""
"SP1","1","PM_LED-10-v0.0.1","",""
"U1,U5","2","CA-IS3062VW","SOIC-16-WB Isolated CAN Transceivers (with Power)",""
"U3","1","","",""
"U6","1","DS3231SN","Extremely Accurate I2C-Integrated RTC/TCXO/Crystal SOIC-16",""
"U7","1","SN74LVC2G14DBVR","",""
"U8","1","CA-IS3098W","",""
