"reference","quantity","part_ipn","note","optional"
"C1,C2,C5,C6,C7,C8,C11,C38,C39,C40","10","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor",""
"C3,C4,C9,C10","4","TAJA106M016RNJ","10uF 16V 3Ω@100kHz ±20% CASE-A-3216-18(mm) Tantalum Capacitors",""
"C12,C37","2","C_10uF_16V_0603_MLCC-X5R","Unpolarized capacitor",""
"C13,C15,C16,C18,C25,C27,C28,C30","8","C_1nF_16V_0603_MLCC-X7R","Unpolarized capacitor",""
"C14,C17,C19,C21,C22,C24,C26,C29,C31,C33,C34,C36","12","C_10nF_16V_0603_MLCC-X7R","Unpolarized capacitor",""
"C20,C23,C32,C35","4"," C_1uF_16V_0603_MLCC-X7R ","Unpolarized capacitor",""
"J1,J2","2","AFA07-S10FCC-00","Generic connector, single row, 01x10, script generated",""
"J3","1","FFC_10P_P1.0_50mm_reverse","",""
"J4,J5","2","15EDGRHC-THR-3.5-14P","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"L1","1","FB_300mΩ_1kΩ@100MHz_1206","Ferrite bead",""
"R1,R2,R3,R4,R5,R6,R7,R8","8","R_100R_0603_1%","Resistor",""
"R9","1","R_1R5_0603_1%","Resistor",""
"R10,R11","2","R_10k_0603_1%","Resistor",""
"U1","1","AD7190","",""
"U2","1","AD7190","","1"
"U3","1","CA-IS3761HW","",""
"U4","1","CA-IS3105W","",""
"U5","1","PM-LED8_v0.0.2","",""
