"reference","quantity","part_ipn","note","optional"
"C1,C5,C6,C7,C11,C38,C39,C40","8","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor",""
"C3,C9","2","TAJA106M016RNJ","10uF 16V 3Ω@100kHz ±20% CASE-A-3216-18(mm) Tantalum Capacitors",""
"C12,C37","2","C_10uF_16V_0805_MLCC-X7R","Unpolarized capacitor",""
"C13,C15,C16,C18,C25,C27,C28,C30","8","C_1nF_16V_0603_MLCC-X7R","Unpolarized capacitor",""
"C14,C17,C19,C21,C26,C29","6","C_10nF_16V_0603_MLCC-X7R","Unpolarized capacitor",""
"C20","1"," C_1uF_16V_0603_MLCC-X7R ","Unpolarized capacitor",""
"D1,D2,D3","3","XL-1606SYGC","Green",""
"D4,D5","2","XL-1606SURC","Red",""
"D17,D18","2","XL-1606UBC","Blue",""
"J1","1","FFC_12P_P1.0_100mm_straight","FFC 12pin 100mm",""
"J2,J6,J7","3","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated",""
"J3","1","FFC_10P_P1.0_50mm_reverse","",""
"J4,J5","2","15EDGRHC-THR-3.5-14P","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J8,J9","2","15EDGKNH-3.5-14P","Generic connector, single row, 01x05, script generated",""
"L1","1","FB_300mΩ_1kΩ@100MHz_1206","Ferrite bead",""
"R1,R2,R3,R4,R5,R6,R7,R8","8","R_100R_0603_1%","Resistor",""
"R9","1","R_1R5_0603_1%","Resistor",""
"R10,R12,R13,R14,R15,R16,R17","7","R_1k_0603_1%","Resistor",""
"R11","1","R_10k_0603_1%","Resistor",""
"SP1","1","PM_LED-10-v0.0.1","",""
"U1,U2","2","Keystone_5117","KEYSTONE - 5117 - TEST POINT, PCB, BLUE, THROUGH HOLE",""
"U4","1","CA-IS3105W","",""
"U5","1","SN74LVC2G14DBVR","",""
"U7","1","AD7193BRUZ","",""
"U8","1","CA-IS3741HW","",""
