"reference","quantity","part_ipn","note"
"C1,C2,C3,C4,C5,C6,C7,C8","8","C_4.7nF_50V_1206","Unpolarized capacitor"
"C9","1","C_4.7nF_2kV_1812","Unpolarized capacitor"
"C10,C11,C13,C15,C17","5","C_100nF_50V_1206","Unpolarized capacitor"
"C12,C18,C19","3","C_1uF_50V_1206","Unpolarized capacitor"
"C14,C16","2","C_10uF_50V_1210","Unpolarized capacitor"
"D1,D2,D3,D4,D5,D6,D7,D8","8","SMAJ33CA","7.5A 400W 53.3V 40.6V 33V SMA(DO-214AC) ESD and Surge Protection (TVS/ESD)"
"D10,D11,D12","3","LED_green_1206","Light emitting diode"
"D13","1","B5819W","Schottky diode"
"J1","1","2EDGR-5.08-18P","01x18"
"J3,J4","2","PinHeader_01x12_P2.54_THT_straight","Generic connector, single row, 01x12, script generated"
"J5","1","PinHeader_01x05_P2.54_THT_angle","Generic connector, single row, 01x05, script generated"
"R1,R2,R3,R4,R5,R6,R7,R8","8","R_180R_1206_1%","Resistor"
"R10,R11","2","R_100k_1206_1%","Resistor"
"R12,R13,R14","3","R_4k7_1206_1%","Resistor"
"R15,R16,R17","3","R_10k_1206_1%","Resistor"
"SW1","1","DIP_SW-3P-P2.54-THT-Top","3x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol"
"U1","1","AD4111BCPZ",""
"U2","1","CA-IS3641HW",""
"U3","1","Weact ESP32-C3FH4","Микроконтроллер Weact ESP32-C3"
