"reference","part_ipn","quantity","optional","note"
"C1","C_4.7nF_2kV_1812","1","",""
"D1,D2,D3,D4,D5,D6,D7,D8","BAT20J","8","",""
"J1,J12","FFC_10P_P1.0_100mm_straight","2","",""
"J2,J9","AFA07-S10FCC-00","2","",""
"J3,J4,J5,J6,J7,J8,J18,J20,J100","2EDGK-5.08-02P","9","",""
"J10","2EDGR-5.08-18P","1","",""
"J11","FFC_10P_P1.0_50mm_reverse","1","",""
"J13","AFA07-S10FCC-00","1","1","Для подключения новых плат по SPI"
"K1,K2,K3,K4,K5,K6,K7,K8","G5NB-1A-E-DC5","8","",""
"U1","ULN2803A","1","",""
"U2","MCP23S17-E/SO","1","",""
"U3,U4","PM-LED8_v0.0.1","2","",""
"U5","PM-ESP32C3_v0.0.3","1","",""
