"reference","quantity","part_ipn","note","optional"
"C1","1"," C_4.7uF_16V_0805_MLCC-X7R","Unpolarized capacitor",""
"C2,C9,C10","3","C_10uF_16V_0805_MLCC-X7R","Unpolarized capacitor",""
"C3,C4","2","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor",""
"C7","1","C_22uF_16V_1210_MLCC-X7R","Unpolarized capacitor",""
"C8,C11,C12","3"," C_1uF_16V_0603_MLCC-X7R ","Unpolarized capacitor",""
"C13,C14,C15,C16,C17,C18,C19,C20","8","C_10nF_50V_0603_MLCC-C0G","Unpolarized capacitor",""
"C21","1","C_4.7nF_2kV_1812","Unpolarized capacitor",""
"D1,D2,D3,D4,D5,D6,D7,D8","8","SMAJ33CA","7.5A 400W 53.3V 40.6V 33V SMA(DO-214AC) ESD and Surge Protection (TVS/ESD)",""
"F1,F2,F3,F4,F5,F6,F7,F8","8","nSMD005","Resettable fuse, polymeric positive temperature coefficient",""
"J1,J2","2","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated",""
"J3,J7","2","15EDGKNH-3.5-16P","Generic connector, single row, 01x05, script generated",""
"J4,J5","2","15EDGRHC-THR-3.5-16P","",""
"J6","1","15EDGRC-3.5-05P","Generic connector, single row, 01x09, script generated",""
"J10","1","15EDGK-3.5-05P","Generic connector, single row, 01x10, script generated",""
"PS1","1","B0505LS-1W","",""
"R1,R2,R3,R4,R5,R6,R7,R8","8","R_249R_1206_0.1%_25ppm ","Resistor",""
"R9,R10,R11,R12,R13,R14,R15,R16","8","R_0R_1206_1%","Resistor",""
"U2,U5","2","Keystone_5117","KEYSTONE - 5117 - TEST POINT, PCB, BLUE, THROUGH HOLE",""
"U3","1","CA-IS3741HW","",""
"U4","1","ADS8688","16-Bit, 500-kSPS, 8-Channels, Single-Supply, SAR ADC with Bipolar Input Range, TSSOP-38",""
