"reference","quantity","part_ipn","note","Datasheet","optional"
"C1,C2","2","C_10uF_50V_1206_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/400/details",""
"C3,C5,C7,C9,C11,C12","6","C_100nF_100V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/389/details",""
"C8,C10","2","TAJA106M016RNJ","10uF 16V 3Ω@100kHz ±20% CASE-A-3216-18(mm) Tantalum Capacitors","TAJA106M016RNJ",""
"C13","1","C_1uF_50V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/255/details",""
"C14,C15,C16,C17,C18,C19","6","C_10nF_100V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/226/",""
"C20,C21,C22,C23,C24,C25,C26,C27","8","C_1nF_100V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/225/",""
"D1,D2,D3","3","XL-1606SYGC","Green","http://inventree.network/part/278/",""
"D4,D5","2","XL-1606SURC","Red","http://inventree.network/part/279/",""
"D6,D7","2","XL-1606UBC","Blue","http://inventree.network/part/277/",""
"J1,J5","2","15EDGRH-3.5-16P","","",""
"J2","1","AFA11-S12GLA-00","","http://inventree.network/web/part/398/details",""
"J3,J4,J6,J7","4","15EDGK-3.5-08P","Generic connector, single row, 01x10, script generated","",""
"J8","1","AFA11-S20GLA-00","","http://inventree.network/web/part/383/details",""
"J9","1","15EDGRC-3.5-03P","Generic connector, single row, 01x09, script generated","http://inventree.network/part/247/",""
"J10","1","FFC_10P_P1.0_50mm_reverse","","http://inventree.network/part/171/",""
"J50","1","FFC_12P_P1.0_100mm_straight","FFC 12pin 100mm","http://inventree.network/part/291/",""
"JM1","1","AFA07-S20FCC-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","",""
"L1","1","FB_300mΩ_1kΩ@100MHz_1206","Ferrite bead","http://inventree.network/part/93/",""
"PS1","1","B0505LS-1W","","",""
"R1","1","R_10k_0603_1%","Resistor","http://inventree.network/part/222/",""
"R2","1","R_1R5_0603_1%","Resistor","http://inventree.network/part/224/",""
"R3,R4,R5,R6,R7,R8,R9,R10","8","R_100R_0603_1%","Resistor","http://inventree.network/part/223/",""
"R11,R12,R13,R14,R15,R16,R17","7","R_1k_0603_1%","Resistor","http://inventree.network/part/280/",""
"R18","1","R_250R_0603_1%","Resistor","http://inventree.network/web/part/335/details",""
"SP1","1","PMLED-10-v0.0.2","","",""
"U2,U3","2","Keystone_5117","KEYSTONE - 5117 - TEST POINT, PCB, BLUE, THROUGH HOLE","http://inventree.network/part/282/",""
"U5","1","CA-IS3741HW","","http://inventree.network/part/203/",""
"U6","1","SN74LVC2G14DBVR","","http://inventree.network/part/216/",""
"U7","1","AD7193BRUZ","","http://inventree.network/part/272/",""
