"reference","quantity","part_ipn","note","Datasheet","optional"
"C1,C6,C8,C9,C13,C17","6","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/221",""
"C2,C5,C10,C15","4","C_1uF_50V_0603_MLCC-X7R","Unpolarized capacitor","",""
"C3,C4,C11,C12,C14,C16","6","C_10uF_16V_0805_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/271/",""
"C7","1","C_4.7nF_2kV_1812_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/112/",""
"CR1","1","STWD100NYWY3F","","http://inventree.localhost/platform/part/336/details",""
"D1,D2,D3,D5,D6","5","XL-1606SYGC","Green","http://inventree.network/part/278/",""
"D4","1","XL-1606SURC","Red","http://inventree.network/part/279/",""
"D7,D8","2","XL-1606UBC","Blue","http://inventree.network/part/277/",""
"D9","1","B5819W","Schottky diode","http://inventree.network/part/6/",""
"J1,J6","2","15EDGRC-3.5-05P","Generic connector, single row, 01x09, script generated","http://inventree.network/part/238/",""
"J2","1","15EDGK-3.5-05P","Generic connector, single row, 01x10, script generated","http://inventree.network/part/250/",""
"J3","1","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated","http://inventree.network/part/170/",""
"J4","1","FFC_12P_P1.0_100mm_straight","FFC 12pin 100mm","http://inventree.network/part/291/",""
"J5","1","BS-12-A1AJ002-F","","http://inventree.network/part/215/",""
"JM1,JM2","2","AFA07-S20FCC-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","",""
"R1","1","R_4k7_0603_1%","Resistor","http://inventree.network/part/262/",""
"R2","1","R_1k_0603_1%","Resistor","http://inventree.network/part/280/",""
"R3,R4,R5,R6,R7,R8","6","R_680R_0603_1%","Resistor","http://inventree.network/part/281/",""
"R9","1","R_10k_0603_1%","Resistor","http://inventree.network/part/222/",""
"RN1","1","R_3k3_0603x4_1%","4 resistor network, parallel topology, split","http://inventree.network/web/part/349/details",""
"SP1","1","PMLED-10-v0.0.2","","",""
"U1,U6","2","CA-IS3062VW","SOIC-16-WB Isolated CAN Transceivers (with Power)","",""
"U2","1","","","",""
"U3","1","SN74LVC2G14DBVR","","http://inventree.network/part/216/",""
"U4","1","DS3231SN","Extremely Accurate I2C-Integrated RTC/TCXO/Crystal SOIC-16","http://inventree.network/part/119/",""
"U5","1","CA-IS3098W","","http://inventree.network/part/218/",""
