"reference","quantity","part_ipn","note","Datasheet","optional"
"C1","1"," C_4.7uF_16V_0805_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/300",""
"C2,C3","2","C_10uF_16V_0805_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/271/",""
"C4,C5,C6","3","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/221",""
"J1,J2,J3,J8,J9,J10,J11,J12","8","15EDGKC-3.5-04P","","http://inventree.network/web/part/347/details",""
"J4,J5,J6,J7","4","15EDGRH-3.5-08P","","http://inventree.network/web/part/348/details",""
"JM1,JM2","2","AFA07-S20FCC-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","http://inventree.network/web/part/329/details",""
"PS1","1","B0505LS-1W","","http://inventree.network/web/part/301/details",""
"R1","1","R_220R_0603_1%","Resistor","http://inventree.network/web/part/351/details",""
"RN1,RN2,RN3,RN4,RN5","5","R_3k3_0603x4_1%","4 resistor network, parallel topology, split","http://inventree.network/web/part/349/details",""
"SP1","1","PM_LED-10-v0.0.1","","",""
"U2","1","TCA9548APWR","","http://inventree.network/web/part/350/details",""
"U3,U4","2","Keystone_5117","KEYSTONE - 5117 - TEST POINT, PCB, BLUE, THROUGH HOLE","http://inventree.network/part/282/",""
"U11","1","CA-IS3021G","","http://inventree.network/web/part/315/details",""
