"reference","quantity","part_ipn","note","Datasheet","optional"
"C1,C5,C7,C12,C15","5","C_1uF_50V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/255/details",""
"C2,C10,C13,C14","4","C_10uF_16V_0805_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/271/",""
"C4","1","C_22uF_16V_0805_MLCC-X5R","Unpolarized capacitor","http://inventree.network/part/287/",""
"C11,C16","2","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/221",""
"CR1","1","STWD100NYWY3F","","http://inventree.network/web/part/336/details",""
"D1,D3,D5","3","XL-1606SYGC","Green","http://inventree.network/part/278/",""
"D2,D4","2","XL-1606UBC","Blue","http://inventree.network/part/277/",""
"D6","1","XL-1606SURC","Red","http://inventree.network/part/279/",""
"J1","1","U254-051T-4BH83-S1S ","","http://inventree.network/part/136/",""
"J2","1","15EDGRC-3.5-05P","Generic connector, single row, 01x09, script generated","http://inventree.network/part/238/",""
"J3","1","15EDGK-3.5-05P","Generic connector, single row, 01x10, script generated","http://inventree.network/part/250/",""
"J4","1","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated","",""
"JM1","1","AFA07-S20FCC-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","",""
"PS1","1","B2405LS-1WR3","","http://inventree.network/part/220/",""
"R1,R3","2","R_3k3_0603_1%","Resistor","http://inventree.network/part/234/",""
"R2","1","R_1k_0603_1%","Resistor","http://inventree.network/part/280/",""
"R4,R8,R9","3","R_680R_0603_1%","Resistor","http://inventree.network/part/281/",""
"R5,R6,R7","3","R_330R_0603_1%","Resistor","http://inventree.network/part/235/",""
"R10","1","R_120R_0603_1%","Resistor","http://inventree.network/web/part/366/details",""
"RN1,RN2,RN3","3","R_10k_0603x4_1%","4 resistor network, parallel topology, split","http://inventree.network/part/233/",""
"SP1","1","PM_LED-10-v0.0.1","","",""
"SW1,SW2","2","TS-1088-AR02016 ","","http://inventree.network/part/139/",""
"U1","1","ESP32-C3-WROOM-02U-N4","","http://inventree.network/part/132/",""
"U2","1","CJA1117B-3.3","","http://inventree.network/part/165/",""
"U5","1","SN74LVC2G14DBVR","","http://inventree.network/part/216/",""
"U7","1","CA-IS3062VW","SOIC-16-WB Isolated CAN Transceivers (with Power)","http://inventree.network/web/part/314/details",""
"U8","1","ESDCAN05-2BWY","","http://inventree.network/web/part/363/details",""
