"reference","quantity","part_ipn","note","optional"
"C1","1","C_4.7nF_2kV_1812","Unpolarized capacitor",""
"C2,C3,C5","3","C_22uF_50V_2220_MLCC-X7R","Unpolarized capacitor",""
"C4,C6,C7","3","C_22uF_10V_1206_MLCC-X7R","Unpolarized capacitor",""
"D2,D3,D4","3","XL-1606SYGC","Green",""
"J1","1","15EDGK-3.5-05P","Generic connector, single row, 01x10, script generated",""
"J2,J4","2","K7805-2000R3","K7805-2000R3",""
"J3","1","K7803-2000R3","K7803-2000R3",""
"J5","1","15EDGKNH-3.5-10P","Generic connector, single row, 01x05, script generated",""
"J6","1","15EDGRC-3.5-05P","Generic connector, single row, 01x09, script generated",""
"J8","1","15EDGRHC-THR-3.5-10P","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J9","1","15EDGK-3.5-03P","Generic connector, single row, 01x10, script generated",""
"J10","1","15EDGRC-3.5-03P","Generic connector, single row, 01x09, script generated",""
"J11","1","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated",""
"JM1,JM2","2","AFA07-S20FCC-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS",""
"R4","1","R_4k7_0603_1%","Resistor",""
"R5","1","R_1k_0603_1%","Resistor",""
"R6","1","R_680R_0603_1%","Resistor",""
"SP1","1","PM_LED-10-v0.0.1","",""
"U1","1","IRM-20-24","","1"
"U2","1","64900001039","5x20mm Fuseholder 6.3A 250V Littelfuse 6.3A PCB Mount Fuse Holder for 5 x 20mm Cartridge Fuse, 250 V",""
"U4","1","64900001039","5x20mm Fuseholder 6.3A 250V Littelfuse 6.3A PCB Mount Fuse Holder for 5 x 20mm Cartridge Fuse, 250 V","1"
