"reference","quantity","part_ipn","note","optional"
"C1","1","C_4.7nF_2kV_1812","Unpolarized capacitor",""
"C2","1","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor",""
"J1,J20","2","","Generic connector, single row, 01x12, script generated",""
"J2,J19","2","AFA07-S10FCC-00","Generic connector, single row, 01x10, script generated","1"
"J3,J6,J18","3","AFA07-S10FCC-00","Generic connector, single row, 01x10, script generated",""
"J4","1","FFC_10P_P1.0_50mm_reverse","",""
"J5","1","FFC_10P_P1.0_100mm_straight","",""
"J7,J8","2","15EDGRC-3.5-10P","Generic connector, single row, 01x09, script generated",""
"J9,J10,J11,J12,J13,J14,J15,J16,J17","9","2EDGK-5.08-02P","Generic connector, single row, 01x02, script generated",""
"K1,K2,K3,K4,K5,K6,K7,K8","8","G5NB-1A-E-DC5","",""
"U1","1","MCP23S17-E/SO","16-bit I/O expander, SPI, interrupts, w pull-ups, SOIC-28",""
"U2","1","TBD62783AFG","",""
"U5","1","MCP23017-E/SO","16-bit I/O expander, SPI, interrupts, w pull-ups, SOIC-28",""
