"reference","quantity","part_ipn","note","Datasheet","option"
"C1,C8,C10,C12,C19,C22,C25,C28,C39,C42,C45","11","C_1uF_50V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/255/details",""
"C2,C7","2","C_10uF_50V_1206_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/400/details",""
"C4,C6","2","C_12pF_100V_0603_MLCC-NP0","Unpolarized capacitor","http://inventree.network/web/part/411/details",""
"C9,C11,C16,C17,C18,C20,C21,C23,C24,C26,C27,C30,C31,C32,C33,C34,C35,C36,C37,C38,C40,C41,C43,C44","24","C_100nF_100V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/389/details",""
"C13","1","C_1uF_50V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/255/details","1:K,1:T"
"C14,C15,C29","3","C_100nF_100V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/389/details","1:K,1:T"
"D1,D6","2","SMAJ13CA","","http://inventree.network/web/part/412/details","1:K,1:T"
"D2,D3,D4,D5,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16","14","SMAJ13CA","","http://inventree.network/web/part/412/details",""
"J1","1","15EDGRC-3.5-08P","","http://inventree.network/web/part/368/details","1:K,1:T,2:K,2:T"
"J2","1","AFA07-S20FCC-00","","http://inventree.network/web/part/329/details",""
"J3","1","U254-051T-4BH83-S1S ","","http://inventree.network/part/136/",""
"J4","1","15EDGRC-3.5-08P","","http://inventree.network/web/part/368/details",""
"J5","1","15EDGKC-3.5-08P","","http://inventree.network/web/part/380/details","1:K,1:T,2:K,2:T"
"J6","1","15EDGKC-3.5-08P","","http://inventree.network/web/part/380/details",""
"J15","1","FFC_20P_P1.0_50mm_straight","FFC 20pin 50mm","http://inventree.network/web/part/341/details",""
"J20","1","AFA11-S12GLA-00","","http://inventree.network/web/part/398/details",""
"JB1","1","AFA11-S20GLA-00","","http://inventree.network/web/part/383/details",""
"L2","1","L_22nH_0603","Inductor","http://inventree.network/web/part/410/details",""
"PS1","1","B2403LS-1W","","http://inventree.network/web/part/424/details",""
"R4,R7","2","R_270R_0603_1%","Resistor","http://inventree.network/web/part/413/details","1:K,1:T"
"R5,R6","2","R_470R_0603_1%","Resistor","http://inventree.network/web/part/395/details","1:K,1:T"
"R8,R9,R12,R13,R16,R17,R20,R21,R24,R25,R28,R29,R32,R33","14","R_270R_0603_1%","Resistor","http://inventree.network/web/part/413/details",""
"R10,R11,R14,R15,R18,R19,R22,R23,R26,R27,R30,R31,R34,R35","14","R_470R_0603_1%","Resistor","http://inventree.network/web/part/395/details",""
"RN1,RN2,RN4","3","R_10k_0603x4_1%","4 resistor network, parallel topology, split","http://inventree.network/part/233/",""
"RN3","1","R_330R_0603x4_1%","4 resistor network, parallel topology, split","http://inventree.network/part/239/",""
"SP1","1","PMLED-10-v0.0.2","","",""
"SW1,SW2","2","TS-1088-AR02016 ","","http://inventree.network/part/139/",""
"U1","1","ESP32-C3FH4","","http://inventree.network/web/part/415/details",""
"U2","1","MCP23017-E/SS","16-bit I/O expander, SPI, interrupts, w pull-ups, SOIC-28","http://inventree.network/web/part/334/details",""
"U4,U5","2","Keystone_5117","KEYSTONE - 5117 - TEST POINT, PCB, BLUE, THROUGH HOLE","http://inventree.network/part/282/",""
"U6","1","CA-IS3050G","","http://inventree.network/web/part/418/details",""
"U8,U9","2","BAV199LT1G","","http://inventree.network/web/part/313/details","1:K,1:T"
"U10,U11,U12,U13,U14,U15,U16,U17,U18,U27,U28,U29,U30,U31","14","BAV199LT1G","","http://inventree.network/web/part/313/details",""
"U19","1","MAX31855KASA+","","http://inventree.network/web/part/416/details","1:K"
"U20,U21,U22,U23,U24,U25,U26","7","MAX31855KASA+","","http://inventree.network/web/part/416/details",""
"Y1","1","Q22FA12800101","Four pin crystal, GND on pins 2 and 4","http://inventree.network/web/part/417/details",""
