part_ipn,Quantity,LCSC Part Number
C_1uF_50V_0603_MLCC-X7R,11,C559769
C_10uF_50V_1206_MLCC-X7R,2,C89632
C_12pF_100V_0603_MLCC-NP0,2,C576801
C_100nF_100V_0603_MLCC-X7R,24,C113803
C_1uF_50V_0603_MLCC-X7R,1,C559769
C_100nF_100V_0603_MLCC-X7R,3,C113803
SMAJ13CA,2,C908819
SMAJ13CA,14,C908819
15EDGRC-3.5-08P,1,
AFA07-S20FCC-00,1,C262352
U254-051T-4BH83-S1S ,1,C319160
15EDGRC-3.5-08P,1,
15EDGKC-3.5-08P,1,
15EDGKC-3.5-08P,1,
FFC_20P_P1.0_50mm_straight,1,C18797
AFA11-S12GLA-00,1,AFA11-S12GLA-00
AFA11-S20GLA-00,1,AFA11-S20GLA-00
L_22nH_0603,1,C71649
R_270R_0603_1%,2,C22966
R_470R_0603_1%,2,C114669
R_270R_0603_1%,14,C22966
R_470R_0603_1%,14,C114669
R_10k_0603x4_1%,3,C110924
R_330R_0603x4_1%,1,C728888
TS-1088-AR02016 ,2,C720477
ESP32-C3FH4,1,C2858491
MCP23017-E/SS,1,C506653
Keystone_5117,2,
CA-IS3050G,1,C528763
BAV199LT1G,2,C145516
BAV199LT1G,14,C145516
MAX31855KASA+,1,C52028
MAX31855KASA+,7,C52028
Q22FA12800101,1,C255898
