part_ipn,quantity,pricing_min,pricing_max,pricing_min_all,pricing_max_all
C_1uF_50V_0603_MLCC-X7R,11,0.019,0.034,0.204,0.378
C_10uF_50V_1206_MLCC-X7R,2,0.000,0.000,0.000,0.000
C_12pF_100V_0603_MLCC-NP0,2,0.000,0.000,0.000,0.000
C_100nF_100V_0603_MLCC-X7R,24,0.000,0.000,0.000,0.000
SMAJ13CA,14,0.000,0.000,0.000,0.000
AFA07-S20FCC-00,1,0.078,0.078,0.078,0.078
U254-051T-4BH83-S1S ,1,0.024,0.024,0.024,0.024
15EDGRC-3.5-08P,1,0.000,0.000,0.000,0.000
15EDGKC-3.5-08P,1,0.000,0.000,0.000,0.000
FFC_20P_P1.0_50mm_straight,1,0.053,0.053,0.053,0.053
AFA11-S12GLA-00,1,0.000,0.000,0.000,0.000
AFA11-S20GLA-00,1,0.000,0.000,0.000,0.000
L_22nH_0603,1,0.000,0.000,0.000,0.000
R_270R_0603_1%,14,0.000,0.000,0.000,0.000
R_470R_0603_1%,14,0.000,0.000,0.000,0.000
R_10k_0603x4_1%,3,0.006,0.006,0.017,0.017
R_330R_0603x4_1%,1,0.027,0.027,0.027,0.027
TS-1088-AR02016 ,2,0.030,0.033,0.060,0.066
ESP32-C3FH4,1,0.000,0.000,0.000,0.000
MCP23017-E/SS,1,1.110,2.891,1.110,2.891
Keystone_5117,2,0.064,0.064,0.128,0.128
CA-IS3050G,1,1.700,1.700,1.700,1.700
BAV199LT1G,14,0.015,0.015,0.206,0.206
MAX31855KASA+,7,0.000,0.000,0.000,0.000
Q22FA12800101,1,0.000,0.000,0.000,0.000
Итого,0,0.000,0.000,3.606,5.568
