part_ipn,Quantity,LCSC Part Number
C_100nF_100V_0603_MLCC-X7R,2,C113803
XL-1606SYGC,32,C965864
XL-1606UBC,4,C965865
Standoff_nylon_M2_nut,8,
Standoff_nylon_M2_shaft_10mm,8,
Standoff_nylon_M2_screw,8,
FFC_12P_P1.0_100mm_straight,1,
AFA11-S12GLA-00,1,AFA11-S12GLA-00
AFA11-S12GLA-00,1,AFA11-S12GLA-00
FFC_12P_P1.0_100mm_straight,1,
FFC_12P_P1.0_100mm_straight,1,
15EDGRC-3.5-03P,1,C5188296
AFA07-S12FCC-00,1,C14431
15EDGK-3.5-03P,1,C5188250
AFA07-S12FCC-00,1,C14431
AFA11-S12GLA-00,1,AFA11-S12GLA-00
AFA07-S20FCC-00,1,C262352
AFA11-S12GLA-00,1,AFA11-S12GLA-00
FFC_12P_P1.0_100mm_straight,1,
AFA07-S12FCC-00,1,C14431
AFA07-S12FCC-00,1,C14431
FFC_20P_P1.0_50mm_straight,1,C18797
AFA11-S20GLA-00,1,AFA11-S20GLA-00
R_680R_0603_1%,36,
R_2k7_0603x4_1%,8,C414561
R_750R_0603x4_1%,8,
CA-IS3980P,1,C5125943
CA-IS3980P,1,C5125943
MCP23017-E/SS,1,C506653
CA-IS3980P,1,C5125943
MCP23017-E/SS,1,C506653
CA-IS3980P,1,C5125943
