part_ipn,quantity,pricing_min,pricing_max,pricing_min_all,pricing_max_all
15EDGK-3.5-03P,1,0.000,0.000,0.000,0.000
15EDGRC-3.5-03P,1,0.000,0.000,0.000,0.000
C_100nF_100V_0603_MLCC-X7R,2,0.000,0.000,0.000,0.000
FFC_20P_P1.0_50mm_straight,1,0.053,0.053,0.053,0.053
R_2k7_0603x4_1%,8,0.000,0.000,0.000,0.000
R_680R_0603_1%,36,0.001,0.001,0.023,0.027
R_750R_0603x4_1%,8,0.000,0.000,0.000,0.000
Standoff_nylon_M2_nut,8,0.000,0.000,0.000,0.000
Standoff_nylon_M2_screw,8,0.000,0.000,0.000,0.000
Standoff_nylon_M2_shaft_10mm,8,0.000,0.000,0.000,0.000
XL-1606SYGC,32,0.013,0.016,0.413,0.501
XL-1606UBC,4,0.012,0.012,0.049,0.049
Итого,0,0.000,0.000,0.538,0.630
