part_ipn,Quantity,LCSC Part Number
C_1uF_50V_0603_MLCC-X7R,1,C559769
C_10uF_50V_1206_MLCC-X7R,1,C89632
C_100nF_100V_0603_MLCC-X7R,3,C113803
XL-1606SYGC,16,C965864
XL-1606UBC,2,C965865
15EDGRC-3.5-08P,1,
AFA11-S12GLA-00,1,AFA11-S12GLA-00
AFA11-S20GLA-00,1,AFA11-S20GLA-00
15EDGRC-3.5-08P,1,
15EDGRC-3.5-03P,1,C5188296
15EDGK-3.5-03P,1,C5188250
AFA07-S20FCC-00,1,C262352
AFA11-S12GLA-00,1,AFA11-S12GLA-00
FFC_12P_P1.0_50mm_straight,1,C2857580
FFC_12P_P1.0_50mm_straight,1,C2857580
FFC_20P_P1.0_50mm_straight,1,C18797
B2405LS-1WR3,1,
2N7002K,1,C414015
R_3k3_0603_1%,2,C108078
R_680R_0603_1%,18,
R_100R_0603_1%,1,
Keystone_5117,2,
TBD62783AFG,1,C840444
TBD62783AFG,1,C840444
64900001039,1,
CA-IS3021G,1,C7422514
MCP23S17-E/SS,1,
