part_ipn,quantity,pricing_min,pricing_max,pricing_min_all,pricing_max_all
15EDGK-3.5-03P,1,0.000,0.000,0.000,0.000
15EDGRC-3.5-03P,1,0.000,0.000,0.000,0.000
2N7002K,1,0.013,0.013,0.013,0.013
64900001039,1,0.132,0.135,0.132,0.135
B2405LS-1WR3,1,0.589,1.207,0.589,1.207
CA-IS3021G,1,1.048,1.398,1.048,1.398
C_100nF_100V_0603_MLCC-X7R,3,0.000,0.000,0.000,0.000
C_10uF_50V_1206_MLCC-X7R,1,0.000,0.000,0.000,0.000
C_1uF_50V_0603_MLCC-X7R,1,0.019,0.034,0.019,0.034
FFC_20P_P1.0_50mm_straight,1,0.053,0.053,0.053,0.053
Keystone_5117,2,0.064,0.064,0.128,0.128
MCP23S17-E/SS,1,1.015,1.015,1.015,1.015
R_100R_0603_1%,1,0.001,0.001,0.001,0.001
R_3k3_0603_1%,2,0.001,0.001,0.002,0.002
R_680R_0603_1%,18,0.001,0.001,0.012,0.014
XL-1606SYGC,16,0.013,0.016,0.207,0.250
XL-1606UBC,2,0.012,0.012,0.025,0.025
Итого,0,0.000,0.000,3.241,4.274
