"reference","quantity","part_ipn","note","Datasheet","option"
"C1","1","C_10uF_50V_1206_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/400/details",""
"C2","1","C_100nF_100V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/389/details",""
"C3","1","C_4.7nF_2kV_1812_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/112/",""
"C4","1","C_22uF_25V_1210_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/399/details",""
"D1,D2,D3,D4,D5,D6,D7,D8","8","XL-1606SYGC","Green","http://inventree.network/part/278/",""
"D9,D10","2","XL-1606UBC","Blue","http://inventree.network/part/277/",""
"D11,D14,D17,D20","4","Standoff_nylon_M2_nut","","http://inventree.network/web/part/192/details",""
"D12,D16,D19,D22","4","Standoff_nylon_M2_screw","","http://inventree.network/web/part/193/details",""
"D13,D15,D18,D21","4","Standoff_nylon_M2_shaft_10mm","","http://inventree.network/web/part/199/details",""
"J1","1","15EDGKC-3.5-08P","Generic connector, single row, 01x10, script generated","http://inventree.network/web/part/380/details","1:5,1:6,1:7,1:8"
"J2","1","15EDGRC-3.5-08P","Generic connector, single row, 01x09, script generated","http://inventree.network/web/part/368/details","1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8"
"J3","1","AFA11-S12GLA-00","Generic connector, single row, 01x10, script generated","http://inventree.network/web/part/398/details",""
"J4","1","15EDGRC-3.5-08P","Generic connector, single row, 01x09, script generated","http://inventree.network/web/part/368/details","1:5,1:6,1:7,1:8"
"J5","1","FFC_12P_P1.0_100mm_straight","FFC 12pin 100mm","http://inventree.network/part/291/",""
"J7","1","15EDGKC-3.5-08P","Generic connector, single row, 01x10, script generated","http://inventree.network/web/part/380/details","1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8"
"J8","1","AFA07-S20FCC-00","","http://inventree.network/web/part/329/details",""
"J9","1","FFC_20P_P1.0_50mm_straight","FFC 20pin 50mm","http://inventree.network/web/part/341/details",""
"J11","1","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated","http://inventree.network/web/part/285/details",""
"J12","1","K7805-500R3","K7805-500R3","http://inventree.network/web/part/422/details",""
"J100","1","AFA11-S20GLA-00","","http://inventree.network/web/part/383/details",""
"K1","1","G5NB-1A-E-DC5","","http://inventree.network/part/14/","1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8"
"K2","1","G5NB-1A-E-DC5","","http://inventree.network/part/14/","1:2,1:3,1:4,1:5,1:6,1:7,1:8"
"K3","1","G5NB-1A-E-DC5","","http://inventree.network/part/14/","1:3,1:4,1:5,1:6,1:7,1:8"
"K4","1","G5NB-1A-E-DC5","","http://inventree.network/part/14/","1:4,1:5,1:6,1:7,1:8"
"K5","1","G5NB-1A-E-DC5","","http://inventree.network/part/14/","1:5,1:6,1:7,1:8"
"K6","1","G5NB-1A-E-DC5","","http://inventree.network/part/14/","1:6,1:7,1:8"
"K7","1","G5NB-1A-E-DC5","","http://inventree.network/part/14/","1:7,1:8"
"K8","1","G5NB-1A-E-DC5","","http://inventree.network/part/14/","1:8"
"R1,R2,R34,R35,R36,R37,R38,R39,R40,R41","10","R_680R_0603_1%","Resistor","http://inventree.network/part/281/",""
"SP3","1","PMLED-10-v0.0.2","","",""
"U2","1","TBD62783AFG","","http://inventree.network/part/260/",""
"U6","1","MCP23017-E/SS","16-bit I/O expander, SPI, interrupts, w pull-ups, SOIC-28","http://inventree.network/web/part/334/details",""
