part_ipn,Quantity,LCSC Part Number
C_10uF_50V_1206_MLCC-X7R,1,C89632
C_100nF_100V_0603_MLCC-X7R,1,C113803
C_4.7nF_2kV_1812_MLCC-X7R,1,
C_22uF_25V_1210_MLCC-X7R,1,C309062
XL-1606SYGC,8,C965864
XL-1606UBC,2,C965865
Standoff_nylon_M2_nut,4,
Standoff_nylon_M2_screw,4,
Standoff_nylon_M2_shaft_10mm,4,
15EDGKC-3.5-08P,1,
15EDGRC-3.5-08P,1,
AFA11-S12GLA-00,1,AFA11-S12GLA-00
15EDGRC-3.5-08P,1,
FFC_12P_P1.0_100mm_straight,1,
15EDGKC-3.5-08P,1,
AFA07-S20FCC-00,1,C262352
FFC_20P_P1.0_50mm_straight,1,C18797
AFA07-S12FCC-00,1,C14431
K7805-500R3,1,C19188491
AFA11-S20GLA-00,1,AFA11-S20GLA-00
G5NB-1A-E-DC5,1,C48746
G5NB-1A-E-DC5,1,C48746
G5NB-1A-E-DC5,1,C48746
G5NB-1A-E-DC5,1,C48746
G5NB-1A-E-DC5,1,C48746
G5NB-1A-E-DC5,1,C48746
G5NB-1A-E-DC5,1,C48746
G5NB-1A-E-DC5,1,C48746
R_680R_0603_1%,10,
TBD62783AFG,1,C840444
MCP23017-E/SS,1,C506653
