part_ipn,quantity,pricing_min,pricing_max,pricing_min_all,pricing_max_all
AFA07-S12FCC-00,1,0.080,0.103,0.080,0.103
AFA07-S20FCC-00,1,0.078,0.078,0.078,0.078
AFA11-S12GLA-00,1,0.000,0.000,0.000,0.000
AFA11-S20GLA-00,1,0.000,0.000,0.000,0.000
C_100nF_100V_0603_MLCC-X7R,1,0.000,0.000,0.000,0.000
C_10uF_50V_1206_MLCC-X7R,1,0.000,0.000,0.000,0.000
C_22uF_25V_1210_MLCC-X7R,1,0.000,0.000,0.000,0.000
C_4.7nF_2kV_1812_MLCC-X7R,1,0.065,0.070,0.065,0.070
FFC_12P_P1.0_100mm_straight,1,0.039,0.089,0.039,0.089
FFC_20P_P1.0_50mm_straight,1,0.053,0.053,0.053,0.053
K7805-500R3,1,0.000,0.000,0.000,0.000
MCP23017-E/SS,1,1.110,2.891,1.110,2.891
R_680R_0603_1%,10,0.001,0.001,0.006,0.008
Standoff_nylon_M2_nut,4,0.000,0.000,0.000,0.000
Standoff_nylon_M2_screw,4,0.000,0.000,0.000,0.000
Standoff_nylon_M2_shaft_10mm,4,0.000,0.000,0.000,0.000
TBD62783AFG,1,0.802,0.890,0.802,0.890
XL-1606SYGC,8,0.013,0.016,0.103,0.125
XL-1606UBC,2,0.012,0.012,0.025,0.025
Итого,0,0.000,0.000,2.361,4.331
