"reference","quantity","part_ipn","note","Datasheet","optional"
"C1","1","C_4.7nF_2kV_1812_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/112/",""
"C2,C5,C7,C9,C12,C15,C17,C19","8","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/221",""
"C3,C6,C8,C10,C13,C16,C18,C20","8","C_10uF_16V_0805_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/271/",""
"C4,C11,C14,C21","4","C_1uF_50V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/255/details",""
"CR1","1","STWD100NYWY3F","","http://inventree.network/web/part/336/details",""
"D1","1","B5819W","Schottky diode","http://inventree.network/part/6/",""
"D2,D3,D4,D5,D6","5","XL-1606SYGC","Green","http://inventree.network/part/278/",""
"D7","1","XL-1606SURC","Red","http://inventree.network/part/279/",""
"D8,D9","2","XL-1606UBC","Blue","http://inventree.network/part/277/",""
"J1","1","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated","http://inventree.network/web/part/285/details",""
"J2","1","BS-12-A1AJ002-F","","http://inventree.network/part/215/",""
"J3","1","AFA07-S06FCC-00","","http://inventree.network/web/part/362/details",""
"J4,J5,J6","3","15EDGRC-3.5-04P","Generic connector, single row, 01x09, script generated","http://inventree.network/web/part/344/details",""
"J7,J10,J11","3","15EDGK-3.5-04P","Generic connector, single row, 01x10, script generated","http://inventree.network/web/part/365/details",""
"J8","1","15EDGK-3.5-05P","Generic connector, single row, 01x10, script generated","http://inventree.network/part/250/",""
"J40","1","FFC_12P_P1.0_100mm_straight","FFC 12pin 100mm","http://inventree.network/part/291/",""
"J70","1","15EDGRC-3.5-05P","Generic connector, single row, 01x09, script generated","http://inventree.network/part/238/",""
"JM1,JM2","2","AFA07-S20FCC-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","http://inventree.network/web/part/329/details",""
"R1","1","R_10k_0603_1%","Resistor","http://inventree.network/part/222/",""
"R2,R3,R4,R5","4","R_120R_0603_1%","Resistor","http://inventree.network/web/part/366/details",""
"R6,R7,R8,R9,R10,R11","6","R_680R_0603_1%","Resistor","http://inventree.network/part/281/",""
"R40","1","R_4k7_0603_1%","Resistor","http://inventree.network/part/262/",""
"R50","1","R_1k_0603_1%","Resistor","http://inventree.network/part/280/",""
"RN1","1","R_3k3_0603x4_1%","4 resistor network, parallel topology, split","http://inventree.network/web/part/349/details",""
"SP1","1","PMLED-10-v0.0.2","","",""
"U1","1","SN74LVC2G14DBVR","","http://inventree.network/part/216/",""
"U2","1","DS3231SN","Extremely Accurate I2C-Integrated RTC/TCXO/Crystal SOIC-16","http://inventree.network/part/119/",""
"U3","1","LuckfoxLyraPlus","","",""
"U4,U7","2","CA-IS3062VW","SOIC-16-WB Isolated CAN Transceivers (with Power)","http://inventree.network/web/part/314/details",""
"U5,U6","2","CA-IS3098W","","http://inventree.network/part/218/",""
"U8,U11","2","ESDCAN05-2BWY","","http://inventree.network/web/part/363/details",""
"U9,U10","2","CDSOT23-SM712  ","","http://inventree.network/web/part/364/details",""
