"reference","quantity","part_ipn","note","Datasheet","option"
"C1","1","C_4.7nF_2kV_1812_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/112/",""
"C2,C5,C7,C9,C12,C15,C17,C19","8","C_100nF_100V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/389/details",""
"C3,C6,C8,C10,C13,C16,C18,C20","8","C_10uF_50V_1206_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/400/details",""
"C4,C11,C14,C21","4","C_1uF_50V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/255/details",""
"CR1","1","STWD100NYWY3F","","http://inventree.network/web/part/336/details",""
"D1","1","B5819W","Schottky diode","http://inventree.network/part/6/",""
"D2,D3,D4,D5,D6","5","XL-1606SYGC","Green","http://inventree.network/part/278/",""
"J1","1","AFA11-S12GLA-00","Generic connector, single row, 01x10, script generated","http://inventree.network/web/part/398/details",""
"J2","1","BS-12-A1AJ002-F","","http://inventree.network/part/215/",""
"J3","1","AFA11-S06GLA-00","","http://inventree.network/web/part/401/details",""
"J5,J6,J7","3","15EDGRC-3.5-04P","Generic connector, single row, 01x09, script generated","http://inventree.network/web/part/344/details",""
"J8","1","15EDGKC-3.5-05P","Generic connector, single row, 01x10, script generated","http://inventree.network/part/250/",""
"J9","1","AFA07-S20FCC-00","","http://inventree.network/web/part/329/details",""
"J10,J11,J13","3","15EDGKC-3.5-04P","Generic connector, single row, 01x10, script generated","http://inventree.network/web/part/347/details",""
"J12","1","AFA11-S20GLA-00","","http://inventree.network/web/part/383/details",""
"J15","1","FFC_20P_P1.0_50mm_straight","FFC 20pin 50mm","http://inventree.network/web/part/341/details",""
"J40","1","FFC_12P_P1.0_100mm_straight","FFC 12pin 100mm","http://inventree.network/part/291/",""
"J70","1","15EDGRC-3.5-05P","Generic connector, single row, 01x09, script generated","http://inventree.network/part/238/",""
"R1","1","R_10k_0603_1%","Resistor","http://inventree.network/part/222/",""
"R2,R3,R4,R5","4","R_120R_0603_1%","Resistor","http://inventree.network/web/part/366/details",""
"R6,R7,R8,R12","4","R_560R_0603_1%","Resistor","",""
"R50","1","R_1k5_0603_1%","Resistor","http://inventree.network/part/280/",""
"RN1","1","R_3k3_0603x4_1%","4 resistor network, parallel topology, split","http://inventree.network/web/part/349/details",""
"SP1","1","PMLED-10-v0.0.2","","",""
"U2","1","DS3231SN","Extremely Accurate I2C-Integrated RTC/TCXO/Crystal SOIC-16","http://inventree.network/part/119/",""
"U3","1","LuckfoxLyraPlus","","",""
"U4,U7","2","CA-IS3062VW","SOIC-16-WB Isolated CAN Transceivers (with Power)","http://inventree.network/web/part/314/details",""
"U5,U6","2","CA-IS3098W","","http://inventree.network/part/218/",""
"U8,U11","2","ESDCAN05-2BWY","","http://inventree.network/web/part/363/details",""
"U9,U10","2","CDSOT23-SM712  ","","http://inventree.network/web/part/364/details",""
