part_ipn,Quantity,LCSC Part Number
C_4.7nF_2kV_1812_MLCC-X7R,1,
C_100nF_100V_0603_MLCC-X7R,8,C113803
C_10uF_50V_1206_MLCC-X7R,8,C89632
C_1uF_50V_0603_MLCC-X7R,4,C559769
STWD100NYWY3F,1,C46043
B5819W,1,
XL-1606SYGC,5,C965864
AFA11-S12GLA-00,1,AFA11-S12GLA-00
BS-12-A1AJ002-F,1,
AFA11-S06GLA-00,1,C2912854
15EDGRC-3.5-04P,3,C7603438
15EDGKC-3.5-05P,1,
AFA07-S20FCC-00,1,C262352
15EDGKC-3.5-04P,3,
AFA11-S20GLA-00,1,AFA11-S20GLA-00
FFC_20P_P1.0_50mm_straight,1,C18797
FFC_12P_P1.0_100mm_straight,1,
15EDGRC-3.5-05P,1,C5188298
R_10k_0603_1%,1,C98220
R_120R_0603_1%,4,C114640
R_560R_0603_1%,4,
R_1k5_0603_1%,1,
R_3k3_0603x4_1%,1,C728893
DS3231SN,1,
CA-IS3062VW,2,C5338808
CA-IS3098W,2,C7422557
ESDCAN05-2BWY,2,C1973137
CDSOT23-SM712  ,2,C404012
