part_ipn,quantity,pricing_min,pricing_max,pricing_min_all,pricing_max_all
C_4.7nF_2kV_1812_MLCC-X7R,1,0.065,0.070,0.065,0.070
C_100nF_100V_0603_MLCC-X7R,8,0.000,0.000,0.000,0.000
C_10uF_50V_1206_MLCC-X7R,8,0.000,0.000,0.000,0.000
C_1uF_50V_0603_MLCC-X7R,4,0.019,0.034,0.074,0.137
STWD100NYWY3F,1,0.318,0.318,0.318,0.318
B5819W,1,0.009,0.011,0.009,0.011
XL-1606SYGC,5,0.013,0.016,0.065,0.078
AFA11-S12GLA-00,1,0.000,0.000,0.000,0.000
BS-12-A1AJ002-F,1,0.118,0.118,0.118,0.118
AFA11-S06GLA-00,1,0.000,0.000,0.000,0.000
15EDGRC-3.5-04P,3,0.188,0.188,0.564,0.564
15EDGKC-3.5-05P,1,0.000,0.000,0.000,0.000
AFA07-S20FCC-00,1,0.078,0.078,0.078,0.078
15EDGKC-3.5-04P,3,0.794,0.794,2.382,2.382
AFA11-S20GLA-00,1,0.000,0.000,0.000,0.000
FFC_20P_P1.0_50mm_straight,1,0.053,0.053,0.053,0.053
FFC_12P_P1.0_100mm_straight,1,0.039,0.089,0.039,0.089
15EDGRC-3.5-05P,1,0.082,0.089,0.082,0.089
R_10k_0603_1%,1,0.001,0.001,0.001,0.001
R_120R_0603_1%,4,0.002,0.002,0.007,0.007
R_560R_0603_1%,4,0.001,0.001,0.003,0.003
R_1k5_0603_1%,1,0.001,0.001,0.001,0.001
R_3k3_0603x4_1%,1,0.004,0.004,0.004,0.004
DS3231SN,1,2.337,3.029,2.337,3.029
CA-IS3062VW,2,4.287,6.712,8.573,13.423
CA-IS3098W,2,1.852,1.852,3.704,3.704
ESDCAN05-2BWY,2,0.360,0.360,0.721,0.721
CDSOT23-SM712  ,2,0.788,0.788,1.576,1.576
Итого,0,0.000,0.000,20.774,26.456
