"reference","quantity","part_ipn","note","Datasheet","optional"
"C1","1","C_4.7nF_2kV_1812","Unpolarized capacitor","http://inventree.network/part/112/",""
"C2,C3,C5","3","C_22uF_50V_2220_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/99/",""
"C4,C6,C7","3","C_22uF_10V_1206_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/343/details",""
"D2,D3,D4","3","XL-1606SYGC","Green","http://inventree.network/part/278/",""
"J1,J5,J7","3","15EDGK-3.5-05P","Generic connector, single row, 01x10, script generated","http://inventree.network/part/250/",""
"J2,J4","2","K7805-2000R3","K7805-2000R3","http://inventree.network/part/98/",""
"J3","1","K7803-2000R3","K7803-2000R3","http://inventree.network/part/118/",""
"J6","1","15EDGRC-3.5-05P","Generic connector, single row, 01x09, script generated","http://inventree.network/part/238/",""
"J9","1","15EDGK-3.5-03P","Generic connector, single row, 01x10, script generated","http://inventree.network/part/249/",""
"J10","1","15EDGRC-3.5-03P","Generic connector, single row, 01x09, script generated","http://inventree.network/part/247/",""
"J11","1","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated","http://inventree.network/web/part/285/details",""
"J12","1","15EDGRH-3.5-10P","","http://inventree.network/web/part/352/details",""
"JM1,JM2","2","AFA07-S20FCC-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","http://inventree.network/web/part/329/details",""
"R4","1","R_4k7_0603_1%","Resistor","http://inventree.network/part/262/",""
"R5","1","R_1k_0603_1%","Resistor","http://inventree.network/part/280/",""
"R6","1","R_680R_0603_1%","Resistor","http://inventree.network/part/281/",""
"SP1","1","PM_LED-10-v0.0.1","","",""
"U1","1","IRM-20-24","","http://inventree.network/part/143/","1"
"U2","1","64900001039","5x20mm Fuseholder 6.3A 250V Littelfuse 6.3A PCB Mount Fuse Holder for 5 x 20mm Cartridge Fuse, 250 V","http://inventree.network/part/23/",""
"U4","1","64900001039","5x20mm Fuseholder 6.3A 250V Littelfuse 6.3A PCB Mount Fuse Holder for 5 x 20mm Cartridge Fuse, 250 V","http://inventree.network/part/23/","1"
