"reference","quantity","part_ipn","note","Datasheet","optional"
"C2,C3,C5","3","C_22uF_50V_2220_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/99/",""
"C4,C6,C7","3","C_22uF_25V_1210_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/399/details",""
"C8","1","C_4.7nF_2kV_1812_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/112/",""
"D1,D7,D10,D13","4","Standoff_nylon_M2_nut","","http://inventree.network/web/part/192/details",""
"D2,D3,D4","3","XL-1606SYGC","Green","http://inventree.network/part/278/",""
"D5,D9,D12,D15","4","Standoff_nylon_M2_screw","","http://inventree.network/web/part/193/details",""
"D6,D8,D11,D14","4","Standoff_nylon_M2_shaft_10mm","","http://inventree.network/web/part/199/details",""
"F1,F2","2","0217001.MXP","Fuse","http://inventree.network/web/part/71/details","1"
"J1,J5","2","15EDGK-3.5-05P","Generic connector, single row, 01x10, script generated","http://inventree.network/part/250/",""
"J2,J4","2","K7805-2000R3","K7805-2000R3","http://inventree.network/part/98/",""
"J3","1","K7803-2000R3","K7803-2000R3","http://inventree.network/part/118/",""
"J6,J7","2","15EDGRC-3.5-05P","Generic connector, single row, 01x09, script generated","http://inventree.network/part/238/",""
"J8,J12","2","AFA11-S20GLA-00","","http://inventree.network/web/part/383/details",""
"J9","1","15EDGK-3.5-03P","Generic connector, single row, 01x10, script generated","http://inventree.network/part/249/",""
"J10","1","15EDGRC-3.5-03P","Generic connector, single row, 01x09, script generated","http://inventree.network/part/247/","1"
"J11","1","AFA11-S12GLA-00","","http://inventree.network/web/part/398/details",""
"J13","1","FFC_12P_P1.0_50mm_reverse","FFC 12pin 50mm reverse","http://inventree.network/web/part/382/details",""
"J14","1","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated","http://inventree.network/web/part/285/details",""
"J15","1","FFC_20P_P1.0_50mm_straight","FFC 20pin 50mm","http://inventree.network/web/part/341/details",""
"R4","1","R_4k7_0603_1%","Resistor","http://inventree.network/part/262/",""
"R5","1","R_1k_0603_1%","Resistor","http://inventree.network/part/280/",""
"R6","1","R_680R_0603_1%","Resistor","http://inventree.network/part/281/",""
"SP1","1","PMLED-10-v0.0.2","","",""
"U1","1","IRM-20-24","","http://inventree.network/part/143/","1"
"U2,U4","2","64900001039","5x20mm Fuseholder 6.3A 250V Littelfuse 6.3A PCB Mount Fuse Holder for 5 x 20mm Cartridge Fuse, 250 V","http://inventree.network/part/23/","1"
