part_ipn,Quantity,LCSC Part Number
C_22uF_50V_2220_MLCC-X7R,1,C784103
C_22uF_50V_2220_MLCC-X7R,1,C784103
C_22uF_25V_1210_MLCC-X7R,1,C309062
C_22uF_50V_2220_MLCC-X7R,1,C784103
C_22uF_25V_1210_MLCC-X7R,1,C309062
C_22uF_25V_1210_MLCC-X7R,1,C309062
C_4.7nF_2kV_1812_MLCC-X7R,1,
Standoff_nylon_M2_nut,4,
XL-1606SYGC,3,C965864
Standoff_nylon_M2_screw,4,
Standoff_nylon_M2_shaft_10mm,4,
0217001.MXP,2,C142690
15EDGK-3.5-05P,2,C5188252
K7805-2000R3,1,C18212380
K7803-2000R3,1,C48888166
K7805-2000R3,1,C18212380
15EDGRC-3.5-05P,2,C5188298
AFA07-S20FCC-00,1,C262352
15EDGK-3.5-03P,1,C5188250
15EDGRC-3.5-03P,1,C5188296
AFA11-S12GLA-00,1,AFA11-S12GLA-00
AFA11-S20GLA-00,1,AFA11-S20GLA-00
FFC_12P_P1.0_100mm_straight,1,
AFA07-S12FCC-00,1,C14431
FFC_20P_P1.0_50mm_straight,1,C18797
K7805-500R3,1,C19188491
K7805-1000R3,1,C42163271
K7805-500R3,1,C19188491
K7805-1000R3,1,C42163271
K7803-500R3,1,C46641457
K7803-1000R3,1,C5369647
R_10k_0603_1%,1,C98220
R_1k5_0603_1%,1,
R_560R_0603_1%,1,
IRM-20-24,1,C194964
64900001039,2,
IRM-05-24,1,
IRM-10-24,1,
IRM-15-24,1,
