part_ipn,quantity,pricing_min,pricing_max,pricing_min_all,pricing_max_all
0217001.MXP,2,0.138,0.138,0.276,0.276
15EDGK-3.5-03P,1,0.000,0.000,0.000,0.000
15EDGK-3.5-05P,2,0.258,0.282,0.517,0.564
15EDGRC-3.5-03P,1,0.000,0.000,0.000,0.000
15EDGRC-3.5-05P,2,0.082,0.089,0.164,0.178
64900001039,2,0.132,0.135,0.264,0.270
AFA07-S12FCC-00,1,0.080,0.103,0.080,0.103
AFA11-S12GLA-00,1,0.000,0.000,0.000,0.000
C_4.7nF_2kV_1812_MLCC-X7R,1,0.065,0.070,0.065,0.070
FFC_12P_P1.0_100mm_straight,1,0.039,0.089,0.039,0.089
FFC_20P_P1.0_50mm_straight,1,0.053,0.053,0.053,0.053
R_10k_0603_1%,1,0.001,0.001,0.001,0.001
R_1k5_0603_1%,1,0.001,0.001,0.001,0.001
R_560R_0603_1%,1,0.001,0.001,0.001,0.001
Standoff_nylon_M2_nut,4,0.000,0.000,0.000,0.000
Standoff_nylon_M2_screw,4,0.000,0.000,0.000,0.000
Standoff_nylon_M2_shaft_10mm,4,0.000,0.000,0.000,0.000
XL-1606SYGC,3,0.013,0.016,0.039,0.047
Итого,0,0.000,0.000,1.499,1.652
