"reference","quantity","part_ipn","note","optional"
"C1,C3,C4,C6,C7,C8","6","C_2.2nF_50V_0603_MLCC-X7R","Unpolarized capacitor",""
"C2","1","C_10uF_16V_0805_MLCC-X7R","Unpolarized capacitor",""
"C5,C9","2"," C_1uF_16V_0603_MLCC-X7R ","Unpolarized capacitor",""
"D1,D2,D3,D4,D5,D6,D7,D8","8","XL-1606SYGC","Green",""
"J1","1","U254-051T-4BH83-S1S ","",""
"J2","1","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated",""
"J3,J4","2","15EDGRC-3.5-10P","Generic connector, single row, 01x09, script generated",""
"J6","1","15EDGRC-3.5-05P","Generic connector, single row, 01x09, script generated",""
"J8,J9","2","15EDGK-3.5-10P","Generic connector, single row, 01x10, script generated",""
"J10","1","15EDGK-3.5-05P","Generic connector, single row, 01x10, script generated",""
"JM1,JM2","2","AFA07-S20FCC-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS",""
"R1,R3,R5,R7,R9,R11","6","R_750R_0603_1%","Resistor",""
"R2,R4,R6,R8,R10,R12","6","R_2k7_0603_1%","Resistor",""
"R13","1","R_330R_0603_1%","Resistor",""
"R14,R15,R16,R17,R18,R19,R20,R21","8","R_1k_0603_1%","Resistor",""
"RN1,RN2,RN3","3","R_10k_0603x4_1%","4 resistor network, parallel topology, split",""
"SP1","1","PM_LED-10-v0.0.1","",""
"SW1,SW2","2","TS-1088-AR02016 ","",""
"U2","1","ESP32-C3-WROOM-02U-N4","",""
"U3","1","CA-IS3988P","",""
