"reference","quantity","part_ipn","note","Datasheet","optional"
"C2","1","C_100nF_100V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/389/details",""
"C3","1","C_4.7nF_2kV_1812_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/112/",""
"C7","1","C_1uF_50V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/255/details",""
"C10","1","C_10uF_50V_1206_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/400/details",""
"D1,D2,D3,D4,D5,D6,D7,D8","8","XL-1606SYGC","Green","http://inventree.network/part/278/",""
"D9,D10","2","XL-1606UBC","Blue","http://inventree.network/part/277/",""
"D11,D14,D17,D20","4","Standoff_nylon_M2_nut","","http://inventree.network/web/part/192/details",""
"D12,D16,D19,D22","4","Standoff_nylon_M2_screw","","http://inventree.network/web/part/193/details",""
"D13,D15,D18,D21","4","Standoff_nylon_M2_shaft_10mm","","http://inventree.network/web/part/199/details",""
"J1,J7","2","15EDGKC-3.5-08P","Generic connector, single row, 01x10, script generated","http://inventree.network/web/part/380/details",""
"J2,J4","2","15EDGRC-3.5-08P","Generic connector, single row, 01x09, script generated","http://inventree.network/web/part/368/details",""
"J3","1","AFA11-S12GLA-00","Generic connector, single row, 01x10, script generated","http://inventree.network/web/part/398/details",""
"J5","1","FFC_12P_P1.0_100mm_straight","FFC 12pin 100mm","http://inventree.network/part/291/",""
"J6","1","15EDGRC-3.5-03P","Generic connector, single row, 01x09, script generated","http://inventree.network/part/247/",""
"J8","1","AFA11-S20GLA-00","","http://inventree.network/web/part/383/details",""
"J9","1","FFC_20P_P1.0_50mm_straight","FFC 20pin 50mm","http://inventree.network/web/part/341/details",""
"J10","1","15EDGKC-3.5-03P","Generic connector, single row, 01x10, script generated","http://inventree.network/web/part/367/details",""
"J11","1","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated","http://inventree.network/web/part/285/details",""
"JM1","1","AFA07-S20FCC-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","http://inventree.network/web/part/329/details",""
"K1,K2,K3,K4,K5,K6,K7,K8","8","G5NB-1A-E-DC5","","http://inventree.network/part/14/",""
"PS1","1","B2405S-2WR3","","http://inventree.network/web/part/219/details",""
"R1,R2,R34,R35,R36,R37,R38,R39,R40,R41","10","R_680R_0603_1%","Resistor","http://inventree.network/part/281/",""
"U2","1","TBD62783AFG","","http://inventree.network/part/260/",""
"U3","1","PMLED-10-v0.0.2","","",""
"U6","1","MCP23017-E/SS","16-bit I/O expander, SPI, interrupts, w pull-ups, SOIC-28","http://inventree.network/web/part/334/details",""
