part_ipn,Quantity,LCSC Part Number
C_100nF_100V_0603_MLCC-X7R,2,C113803
C_10uF_50V_1206_MLCC-X7R,1,C89632
C_1uF_50V_0603_MLCC-X7R,2,C559769
C_10uF_50V_1206_MLCC-X7R,2,C89632
C_22uF_50V_2220_MLCC-X7R,1,C784103
C_22uF_50V_2220_MLCC-X7R,1,C784103
C_22uF_25V_1210_MLCC-X7R,1,C309062
C_22uF_25V_1210_MLCC-X7R,1,C309062
C_100nF_100V_0603_MLCC-X7R,2,C113803
STWD100NYWY3F,1,C46043
U254-051T-4BH83-S1S ,1,C319160
15EDGRC-3.5-06P,1,C49352918
K7803-2000R3,1,C48888166
K7805-2000R3,1,C18212380
AFA11-S12GLA-00,1,AFA11-S12GLA-00
15EDGRC-3.5-04P,1,C7603438
K7803-500R3,1,C46641457
K7803-1000R3,1,C5369647
K7805-500R3,1,C19188491
15EDGKC-3.5-04P,1,
K7805-1000R3,1,C42163271
FFC_20P_P1.0_50mm_straight,1,C18797
AFA11-S20GLA-00,1,AFA11-S20GLA-00
AFA07-S20FCC-00,1,C262352
R_10k_0603_1%,1,C98220
R_330R_0603_1%,1,C105881
R_3k3_0603_1%,2,C108078
R_120R_0603_1%,1,C114640
R_10k_0603x4_1%,1,C110924
TS-1088-AR02016 ,2,C720477
ESP32-C3-WROOM-02U-N4,1,C2926676
SN74LVC2G14DBVR,2,C5375976
CA-IS3098W,1,C7422557
CA-IS3050G,1,C528763
CDSOT23-SM712  ,1,C404012
