"reference","quantity","part_ipn","note","Datasheet","optional"
"C1,C2,C3","3","C_10uF_50V_1206_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/400/details",""
"C4,C5,C6","3","C_100nF_100V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/389/details",""
"J1,J2,J3,J8,J9,J10,J11,J12","8","15EDGKC-3.5-04P","","http://inventree.network/web/part/347/details",""
"J4,J5,J6,J14","4","15EDGRH-3.5-10P","","http://inventree.network/web/part/352/details",""
"J13","1","AFA11-S20GLA-00","","http://inventree.network/web/part/383/details",""
"J15","1","15EDGRC-3.5-03P","Generic connector, single row, 01x09, script generated","http://inventree.network/part/247/",""
"JM1","1","AFA07-S20FCC-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","http://inventree.network/web/part/329/details",""
"PS1","1","B0505LS-1W","","http://inventree.network/web/part/301/details",""
"R1","1","R_220R_0603_1%","Resistor","http://inventree.network/web/part/351/details",""
"RN1,RN2,RN3,RN4,RN5","5","R_3k3_0603x4_1%","4 resistor network, parallel topology, split","http://inventree.network/web/part/349/details",""
"U2","1","TCA9548APWR","","http://inventree.network/web/part/350/details",""
"U3,U4","2","Keystone_5117","KEYSTONE - 5117 - TEST POINT, PCB, BLUE, THROUGH HOLE","http://inventree.network/part/282/",""
"U11","1","CA-IS3021G","","http://inventree.network/web/part/315/details",""
